اسم الشركة,نوع الشركة,القطاع,رقم السجل التجاري,العنوان,المدينة,المنطقة,رقم الهاتف,البريد الإلكتروني,خط العرض,خط الطول,رقم الفاتورة,تاريخ الفاتورة,تاريخ الاستحقاق,نوع الفاتورة,المبلغ (ر.ق),الضريبة (5%),المبلغ الإجمالي (ر.ق),حالة الدفع,طريقة الدفع,تقييم مخاطر الفاتورة,فجوة الإيرادات/الضريبة المحتملة (ر.ق)
"Harris, Lang and Kelley",فردية,المقاولات,44039008,"31065 Jerry Club
Glovertown, OR 07585",الريان,المنطقة 36,(707)840-7815x6404,vbuchanan@example.net,24.91266,51.453683,INV-1010,2024-12-17,2025-06-08,فاتورة ضريبة,14539.26,726.96,15266.22,مدفوعة,بطاقة,منخفض,0.0
"Harris, Lang and Kelley",فردية,المقاولات,44039008,"31065 Jerry Club
Glovertown, OR 07585",الريان,المنطقة 36,(707)840-7815x6404,vbuchanan@example.net,24.91266,51.453683,INV-1011,2024-08-31,2025-06-22,فاتورة تصميم,44750.48,2237.52,46988.0,غير مدفوعة,بطاقة,متوسط,2237.52
"Harris, Lang and Kelley",فردية,المقاولات,44039008,"31065 Jerry Club
Glovertown, OR 07585",الريان,المنطقة 36,(707)840-7815x6404,vbuchanan@example.net,24.91266,51.453683,INV-1012,2024-09-05,2025-06-16,فاتورة شحن,46603.38,2330.17,48933.55,متأخرة,تحويل بنكي,مرتفع,2330.17
"Hayes, Ponce and Stewart",ذ.م.م,النقل,89470809,"622 Diana Row
South Kevin, ID 77397",الريان,المنطقة 75,680-984-0501,devinthomas@example.com,24.964011,50.861958,INV-1013,2025-03-12,2025-05-28,فاتورة اشتراك سنوي,32796.77,1639.84,34436.61,غير مدفوعة,شيك,متوسط,1639.84
"Hayes, Ponce and Stewart",ذ.م.م,النقل,89470809,"622 Diana Row
South Kevin, ID 77397",الريان,المنطقة 75,680-984-0501,devinthomas@example.com,24.964011,50.861958,INV-1014,2024-06-26,2025-06-09,فاتورة رسوم حكومية,11410.46,570.52,11980.98,غير مدفوعة,تحويل بنكي,متوسط,570.52
"Hayes, Ponce and Stewart",ذ.م.م,النقل,89470809,"622 Diana Row
South Kevin, ID 77397",الريان,المنطقة 75,680-984-0501,devinthomas@example.com,24.964011,50.861958,INV-1015,2025-05-05,2025-06-14,فاتورة تدريب,2733.76,136.69,2870.45,متأخرة,بطاقة,مرتفع,136.69
"Farrell, Santiago and Skinner",شركة تضامنية,النقل,64842837,"600 Jones Inlet Apt. 087
Lake Jonathan, RI 51081",الوكرة,المنطقة 23,+1-982-697-9269x188,reginaholmes@example.net,25.532307,51.258282,INV-1016,2024-12-11,2025-05-24,فاتورة ضريبة,10124.06,506.2,10630.26,متأخرة,تحويل بنكي,مرتفع,506.2
"Farrell, Santiago and Skinner",شركة تضامنية,النقل,64842837,"600 Jones Inlet Apt. 087
Lake Jonathan, RI 51081",الوكرة,المنطقة 23,+1-982-697-9269x188,reginaholmes@example.net,25.532307,51.258282,INV-1017,2024-12-25,2025-06-16,فاتورة كهرباء,33488.54,1674.43,35162.97,متأخرة,بطاقة,مرتفع,1674.43
"Farrell, Santiago and Skinner",شركة تضامنية,النقل,64842837,"600 Jones Inlet Apt. 087
Lake Jonathan, RI 51081",الوكرة,المنطقة 23,+1-982-697-9269x188,reginaholmes@example.net,25.532307,51.258282,INV-1018,2024-12-19,2025-06-21,فاتورة أجور,2021.71,101.09,2122.8,متأخرة,تحويل بنكي,مرتفع,101.09
"Farrell, Santiago and Skinner",شركة تضامنية,النقل,64842837,"600 Jones Inlet Apt. 087
Lake Jonathan, RI 51081",الوكرة,المنطقة 23,+1-982-697-9269x188,reginaholmes@example.net,25.532307,51.258282,INV-1019,2024-05-21,2025-05-12,فاتورة ضريبة,24774.49,1238.72,26013.21,مدفوعة,بطاقة,منخفض,0.0
"Farrell, Santiago and Skinner",شركة تضامنية,النقل,64842837,"600 Jones Inlet Apt. 087
Lake Jonathan, RI 51081",الوكرة,المنطقة 23,+1-982-697-9269x188,reginaholmes@example.net,25.532307,51.258282,INV-1020,2025-04-05,2025-07-01,فاتورة خدمات,31143.4,1557.17,32700.57,مدفوعة,شيك,منخفض,0.0
"Farrell, Santiago and Skinner",شركة تضامنية,النقل,64842837,"600 Jones Inlet Apt. 087
Lake Jonathan, RI 51081",الوكرة,المنطقة 23,+1-982-697-9269x188,reginaholmes@example.net,25.532307,51.258282,INV-1021,2024-12-11,2025-06-08,فاتورة اشتراك سنوي,47832.37,2391.62,50223.99,غير مدفوعة,بطاقة,متوسط,2391.62
"Farrell, Santiago and Skinner",شركة تضامنية,النقل,64842837,"600 Jones Inlet Apt. 087
Lake Jonathan, RI 51081",الوكرة,المنطقة 23,+1-982-697-9269x188,reginaholmes@example.net,25.532307,51.258282,INV-1022,2025-04-29,2025-06-01,فاتورة خدمات,3450.52,172.53,3623.05,مدفوعة,تحويل بنكي,منخفض,0.0
"Farrell, Santiago and Skinner",شركة تضامنية,النقل,64842837,"600 Jones Inlet Apt. 087
Lake Jonathan, RI 51081",الوكرة,المنطقة 23,+1-982-697-9269x188,reginaholmes@example.net,25.532307,51.258282,INV-1023,2025-04-03,2025-05-28,فاتورة تأجير,39012.41,1950.62,40963.03,غير مدفوعة,نقداً,متوسط,1950.62
"Farrell, Santiago and Skinner",شركة تضامنية,النقل,64842837,"600 Jones Inlet Apt. 087
Lake Jonathan, RI 51081",الوكرة,المنطقة 23,+1-982-697-9269x188,reginaholmes@example.net,25.532307,51.258282,INV-1024,2025-05-04,2025-06-30,فاتورة استشارة,29457.74,1472.89,30930.63,متأخرة,بطاقة,مرتفع,1472.89
"Farrell, Santiago and Skinner",شركة تضامنية,النقل,64842837,"600 Jones Inlet Apt. 087
Lake Jonathan, RI 51081",الوكرة,المنطقة 23,+1-982-697-9269x188,reginaholmes@example.net,25.532307,51.258282,INV-1025,2024-09-24,2025-06-24,فاتورة تصميم,22949.01,1147.45,24096.46,غير مدفوعة,تحويل بنكي,متوسط,1147.45
Mccoy Inc,مساهمة,المقاولات,45089994,"875 Wu Mountain Suite 249
South Johnathan, SC 81795",الظعاين,المنطقة 91,001-376-498-9169x0062,kyle46@example.com,25.076846,51.102462,INV-1026,2025-04-15,2025-06-23,فاتورة أجور,17741.31,887.07,18628.38,غير مدفوعة,بطاقة,متوسط,887.07
Watson-Shepherd,شركة تضامنية,الصناعة,17711836,"8090 Santiago Valleys Suite 433
New Andrewland, WV 29090",أم صلال,المنطقة 75,001-954-687-9702x2761,tamara82@example.org,25.219196,51.75261,INV-1027,2024-10-28,2025-06-09,فاتورة ضريبة,6263.34,313.17,6576.51,متأخرة,تحويل بنكي,مرتفع,313.17
Watson-Shepherd,شركة تضامنية,الصناعة,17711836,"8090 Santiago Valleys Suite 433
New Andrewland, WV 29090",أم صلال,المنطقة 75,001-954-687-9702x2761,tamara82@example.org,25.219196,51.75261,INV-1028,2025-04-21,2025-05-22,فاتورة تصميم,34241.84,1712.09,35953.93,مدفوعة,شيك,منخفض,0.0
Watson-Shepherd,شركة تضامنية,الصناعة,17711836,"8090 Santiago Valleys Suite 433
New Andrewland, WV 29090",أم صلال,المنطقة 75,001-954-687-9702x2761,tamara82@example.org,25.219196,51.75261,INV-1029,2025-02-07,2025-05-17,فاتورة تدريب,16801.65,840.08,17641.73,متأخرة,بطاقة,مرتفع,840.08
Watson-Shepherd,شركة تضامنية,الصناعة,17711836,"8090 Santiago Valleys Suite 433
New Andrewland, WV 29090",أم صلال,المنطقة 75,001-954-687-9702x2761,tamara82@example.org,25.219196,51.75261,INV-1030,2024-10-24,2025-05-18,فاتورة اشتراك سنوي,29966.54,1498.33,31464.87,غير مدفوعة,بطاقة,متوسط,1498.33
Watson-Shepherd,شركة تضامنية,الصناعة,17711836,"8090 Santiago Valleys Suite 433
New Andrewland, WV 29090",أم صلال,المنطقة 75,001-954-687-9702x2761,tamara82@example.org,25.219196,51.75261,INV-1031,2024-07-09,2025-06-06,فاتورة تطوير ويب,21520.81,1076.04,22596.85,مدفوعة,تحويل بنكي,منخفض,0.0
Jones LLC,فردية,النقل,79481259,"64146 Bradley Brook
New Amanda, IA 95160",الظعاين,المنطقة 68,+1-842-652-3738,mariahstokes@example.com,24.610522,51.072756,INV-1032,2025-02-16,2025-06-16,فاتورة استشارة,22111.59,1105.58,23217.17,غير مدفوعة,تحويل بنكي,متوسط,1105.58
Jones LLC,فردية,النقل,79481259,"64146 Bradley Brook
New Amanda, IA 95160",الظعاين,المنطقة 68,+1-842-652-3738,mariahstokes@example.com,24.610522,51.072756,INV-1033,2025-01-06,2025-05-30,فاتورة تطوير ويب,11714.59,585.73,12300.32,متأخرة,بطاقة,مرتفع,585.73
Jones LLC,فردية,النقل,79481259,"64146 Bradley Brook
New Amanda, IA 95160",الظعاين,المنطقة 68,+1-842-652-3738,mariahstokes@example.com,24.610522,51.072756,INV-1034,2025-04-11,2025-05-14,فاتورة تدريب,8987.17,449.36,9436.53,غير مدفوعة,شيك,متوسط,449.36
Jones LLC,فردية,النقل,79481259,"64146 Bradley Brook
New Amanda, IA 95160",الظعاين,المنطقة 68,+1-842-652-3738,mariahstokes@example.com,24.610522,51.072756,INV-1035,2024-12-04,2025-06-17,فاتورة أجور,3180.63,159.03,3339.66,غير مدفوعة,بطاقة,متوسط,159.03
Jones LLC,فردية,النقل,79481259,"64146 Bradley Brook
New Amanda, IA 95160",الظعاين,المنطقة 68,+1-842-652-3738,mariahstokes@example.com,24.610522,51.072756,INV-1036,2024-06-16,2025-07-05,فاتورة برمجيات,20467.97,1023.4,21491.37,مدفوعة,بطاقة,منخفض,0.0
Jones LLC,فردية,النقل,79481259,"64146 Bradley Brook
New Amanda, IA 95160",الظعاين,المنطقة 68,+1-842-652-3738,mariahstokes@example.com,24.610522,51.072756,INV-1037,2025-04-12,2025-07-06,فاتورة تسويق رقمي,44618.52,2230.93,46849.45,غير مدفوعة,شيك,متوسط,2230.93
Nelson-Townsend,مساهمة,المقاولات,53642879,"476 Ashley Light Suite 067
Dawnview, AR 44454",الريان,المنطقة 23,+1-772-767-5755x98941,qhampton@example.com,24.788791,51.011853,INV-1038,2025-04-13,2025-06-19,فاتورة تصميم,5037.72,251.89,5289.61,مدفوعة,نقداً,منخفض,0.0
Nelson-Townsend,مساهمة,المقاولات,53642879,"476 Ashley Light Suite 067
Dawnview, AR 44454",الريان,المنطقة 23,+1-772-767-5755x98941,qhampton@example.com,24.788791,51.011853,INV-1039,2024-08-08,2025-05-29,فاتورة اشتراك سنوي,23006.92,1150.35,24157.27,متأخرة,شيك,مرتفع,1150.35
"Jackson, Washington and Peterson",شركة تضامنية,الصناعة,96244771,"PSC 0654, Box 1431
APO AE 94940",أم صلال,المنطقة 36,+1-751-588-9813x48984,morganblackwell@example.org,25.128682,51.535754,INV-1040,2025-02-20,2025-05-27,فاتورة تأجير,18658.49,932.92,19591.41,مدفوعة,بطاقة,منخفض,0.0
Hicks-Sanchez,فردية,النقل,97858541,"8412 Edward Well Apt. 371
Silvahaven, GU 34993",الدوحة,المنطقة 36,(391)934-2798x79658,robintaylor@example.net,25.003917,50.956509,INV-1041,2025-03-15,2025-06-08,فاتورة اتصالات,8797.07,439.85,9236.92,متأخرة,نقداً,مرتفع,439.85
Decker PLC,شركة تضامنية,المقاولات,8150889,"Unit 5716 Box 7278
DPO AP 44870",الوكرة,المنطقة 36,(812)260-8184,aprilwoods@example.org,25.259511,50.722164,INV-1042,2025-03-13,2025-06-27,فاتورة اشتراك سنوي,32018.41,1600.92,33619.33,مدفوعة,بطاقة,منخفض,0.0
Decker PLC,شركة تضامنية,المقاولات,8150889,"Unit 5716 Box 7278
DPO AP 44870",الوكرة,المنطقة 36,(812)260-8184,aprilwoods@example.org,25.259511,50.722164,INV-1043,2024-11-15,2025-05-10,فاتورة ضريبة,15363.52,768.18,16131.7,غير مدفوعة,بطاقة,متوسط,768.18
Decker PLC,شركة تضامنية,المقاولات,8150889,"Unit 5716 Box 7278
DPO AP 44870",الوكرة,المنطقة 36,(812)260-8184,aprilwoods@example.org,25.259511,50.722164,INV-1044,2025-04-01,2025-05-26,فاتورة تدريب,41509.25,2075.46,43584.71,غير مدفوعة,نقداً,متوسط,2075.46
Decker PLC,شركة تضامنية,المقاولات,8150889,"Unit 5716 Box 7278
DPO AP 44870",الوكرة,المنطقة 36,(812)260-8184,aprilwoods@example.org,25.259511,50.722164,INV-1045,2025-02-26,2025-06-23,فاتورة رسوم حكومية,27004.18,1350.21,28354.39,متأخرة,شيك,مرتفع,1350.21
Decker PLC,شركة تضامنية,المقاولات,8150889,"Unit 5716 Box 7278
DPO AP 44870",الوكرة,المنطقة 36,(812)260-8184,aprilwoods@example.org,25.259511,50.722164,INV-1046,2025-04-17,2025-06-30,فاتورة شحن,6943.98,347.2,7291.18,متأخرة,بطاقة,مرتفع,347.2
Decker PLC,شركة تضامنية,المقاولات,8150889,"Unit 5716 Box 7278
DPO AP 44870",الوكرة,المنطقة 36,(812)260-8184,aprilwoods@example.org,25.259511,50.722164,INV-1047,2025-04-27,2025-06-24,فاتورة تدريب,25305.16,1265.26,26570.42,متأخرة,شيك,مرتفع,1265.26
Decker PLC,شركة تضامنية,المقاولات,8150889,"Unit 5716 Box 7278
DPO AP 44870",الوكرة,المنطقة 36,(812)260-8184,aprilwoods@example.org,25.259511,50.722164,INV-1048,2024-12-01,2025-05-27,فاتورة مبيعات,38224.51,1911.23,40135.74,غير مدفوعة,شيك,متوسط,1911.23
Decker PLC,شركة تضامنية,المقاولات,8150889,"Unit 5716 Box 7278
DPO AP 44870",الوكرة,المنطقة 36,(812)260-8184,aprilwoods@example.org,25.259511,50.722164,INV-1049,2025-04-12,2025-06-18,فاتورة رسوم حكومية,15074.51,753.73,15828.24,مدفوعة,تحويل بنكي,منخفض,0.0
Decker PLC,شركة تضامنية,المقاولات,8150889,"Unit 5716 Box 7278
DPO AP 44870",الوكرة,المنطقة 36,(812)260-8184,aprilwoods@example.org,25.259511,50.722164,INV-1050,2024-11-07,2025-07-03,فاتورة خدمات,10322.67,516.13,10838.8,متأخرة,تحويل بنكي,مرتفع,516.13
Decker PLC,شركة تضامنية,المقاولات,8150889,"Unit 5716 Box 7278
DPO AP 44870",الوكرة,المنطقة 36,(812)260-8184,aprilwoods@example.org,25.259511,50.722164,INV-1051,2024-05-15,2025-06-17,فاتورة اشتراك سنوي,21151.13,1057.56,22208.69,غير مدفوعة,تحويل بنكي,متوسط,1057.56
"Harmon, Douglas and Shields",ذ.م.م,الخدمات,6322178,"5080 Banks Extensions Apt. 300
Whiteville, SC 40619",الخور,المنطقة 68,257-649-0483x490,laura19@example.com,25.280281,51.730509,INV-1052,2024-09-14,2025-05-13,فاتورة تسويق رقمي,38375.28,1918.76,40294.04,غير مدفوعة,شيك,متوسط,1918.76
"Harmon, Douglas and Shields",ذ.م.م,الخدمات,6322178,"5080 Banks Extensions Apt. 300
Whiteville, SC 40619",الخور,المنطقة 68,257-649-0483x490,laura19@example.com,25.280281,51.730509,INV-1053,2025-03-16,2025-05-28,فاتورة تدريب,9939.18,496.96,10436.14,متأخرة,بطاقة,مرتفع,496.96
Adams Group,شركة تضامنية,المقاولات,83790817,"USNV Patterson
FPO AE 88213",الوكرة,المنطقة 68,+1-275-445-1148x9581,ijackson@example.com,25.021058,51.250167,INV-1054,2024-12-18,2025-05-08,فاتورة برمجيات,35499.29,1774.96,37274.25,مدفوعة,شيك,منخفض,0.0
Adams Group,شركة تضامنية,المقاولات,83790817,"USNV Patterson
FPO AE 88213",الوكرة,المنطقة 68,+1-275-445-1148x9581,ijackson@example.com,25.021058,51.250167,INV-1055,2025-04-20,2025-06-11,فاتورة ضريبة,18053.64,902.68,18956.32,مدفوعة,نقداً,منخفض,0.0
Adams Group,شركة تضامنية,المقاولات,83790817,"USNV Patterson
FPO AE 88213",الوكرة,المنطقة 68,+1-275-445-1148x9581,ijackson@example.com,25.021058,51.250167,INV-1056,2024-08-22,2025-06-09,فاتورة تطوير ويب,17739.94,887.0,18626.94,غير مدفوعة,تحويل بنكي,متوسط,887.0
Miller Group,شركة تضامنية,التجارة,86888746,"78723 Michael Isle Suite 476
Kevinfort, MS 43751",أم صلال,المنطقة 75,(246)624-2762x305,fgoodwin@example.net,25.467675,51.347697,INV-1057,2025-02-26,2025-06-30,فاتورة كهرباء,38121.96,1906.1,40028.06,مدفوعة,بطاقة,منخفض,0.0
"Rose, Walker and West",مساهمة,المقاولات,71139050,"Unit 4882 Box 8532
DPO AE 81497",الخور,المنطقة 68,951.229.4891,amahoney@example.net,25.447015,51.480411,INV-1058,2024-07-05,2025-05-28,فاتورة استشارة,42426.88,2121.34,44548.22,غير مدفوعة,تحويل بنكي,متوسط,2121.34
"Rose, Walker and West",مساهمة,المقاولات,71139050,"Unit 4882 Box 8532
DPO AE 81497",الخور,المنطقة 68,951.229.4891,amahoney@example.net,25.447015,51.480411,INV-1059,2025-03-01,2025-05-23,فاتورة مشتريات,41943.67,2097.18,44040.85,متأخرة,شيك,مرتفع,2097.18
"Rose, Walker and West",مساهمة,المقاولات,71139050,"Unit 4882 Box 8532
DPO AE 81497",الخور,المنطقة 68,951.229.4891,amahoney@example.net,25.447015,51.480411,INV-1060,2024-12-30,2025-06-25,فاتورة اتصالات,32764.43,1638.22,34402.65,متأخرة,نقداً,مرتفع,1638.22
"Rose, Walker and West",مساهمة,المقاولات,71139050,"Unit 4882 Box 8532
DPO AE 81497",الخور,المنطقة 68,951.229.4891,amahoney@example.net,25.447015,51.480411,INV-1061,2024-09-08,2025-07-01,فاتورة تصميم,43595.17,2179.76,45774.93,مدفوعة,تحويل بنكي,منخفض,0.0
"Rose, Walker and West",مساهمة,المقاولات,71139050,"Unit 4882 Box 8532
DPO AE 81497",الخور,المنطقة 68,951.229.4891,amahoney@example.net,25.447015,51.480411,INV-1062,2025-04-19,2025-05-17,فاتورة تسويق رقمي,20563.97,1028.2,21592.17,مدفوعة,شيك,منخفض,0.0
"Rose, Walker and West",مساهمة,المقاولات,71139050,"Unit 4882 Box 8532
DPO AE 81497",الخور,المنطقة 68,951.229.4891,amahoney@example.net,25.447015,51.480411,INV-1063,2025-03-27,2025-06-10,فاتورة تأجير,43695.49,2184.77,45880.26,غير مدفوعة,تحويل بنكي,متوسط,2184.77
"Rose, Walker and West",مساهمة,المقاولات,71139050,"Unit 4882 Box 8532
DPO AE 81497",الخور,المنطقة 68,951.229.4891,amahoney@example.net,25.447015,51.480411,INV-1064,2024-07-09,2025-05-24,فاتورة مشتريات,23630.58,1181.53,24812.11,غير مدفوعة,نقداً,متوسط,1181.53
Castro-Sanders,ذ.م.م,النقل,70424284,"74254 Carter Lane Suite 575
North Alexischester, PW 81735",الخور,المنطقة 23,782.490.0655,iwilkerson@example.org,25.235375,50.785525,INV-1065,2025-01-04,2025-06-07,فاتورة أجور,32062.22,1603.11,33665.33,غير مدفوعة,نقداً,متوسط,1603.11
Castro-Sanders,ذ.م.م,النقل,70424284,"74254 Carter Lane Suite 575
North Alexischester, PW 81735",الخور,المنطقة 23,782.490.0655,iwilkerson@example.org,25.235375,50.785525,INV-1066,2024-06-03,2025-06-29,فاتورة تسويق رقمي,34673.23,1733.66,36406.89,متأخرة,بطاقة,مرتفع,1733.66
Castro-Sanders,ذ.م.م,النقل,70424284,"74254 Carter Lane Suite 575
North Alexischester, PW 81735",الخور,المنطقة 23,782.490.0655,iwilkerson@example.org,25.235375,50.785525,INV-1067,2024-05-18,2025-05-19,فاتورة تصميم,45050.61,2252.53,47303.14,مدفوعة,تحويل بنكي,منخفض,0.0
Young PLC,شركة تضامنية,التجارة,54482632,"5142 Henry Knoll
North Robert, WV 39454",أم صلال,المنطقة 23,819-984-2877x274,tamara26@example.org,24.922509,51.195955,INV-1068,2024-06-04,2025-06-20,فاتورة ضريبة,45715.84,2285.79,48001.63,غير مدفوعة,شيك,متوسط,2285.79
Young PLC,شركة تضامنية,التجارة,54482632,"5142 Henry Knoll
North Robert, WV 39454",أم صلال,المنطقة 23,819-984-2877x274,tamara26@example.org,24.922509,51.195955,INV-1069,2025-02-11,2025-06-30,فاتورة برمجيات,35462.37,1773.12,37235.49,متأخرة,شيك,مرتفع,1773.12
Young PLC,شركة تضامنية,التجارة,54482632,"5142 Henry Knoll
North Robert, WV 39454",أم صلال,المنطقة 23,819-984-2877x274,tamara26@example.org,24.922509,51.195955,INV-1070,2024-07-07,2025-07-01,فاتورة استشارة,41383.82,2069.19,43453.01,غير مدفوعة,تحويل بنكي,متوسط,2069.19
Young PLC,شركة تضامنية,التجارة,54482632,"5142 Henry Knoll
North Robert, WV 39454",أم صلال,المنطقة 23,819-984-2877x274,tamara26@example.org,24.922509,51.195955,INV-1071,2024-05-29,2025-06-22,فاتورة اشتراك سنوي,39019.05,1950.95,40970.0,مدفوعة,شيك,منخفض,0.0
Young PLC,شركة تضامنية,التجارة,54482632,"5142 Henry Knoll
North Robert, WV 39454",أم صلال,المنطقة 23,819-984-2877x274,tamara26@example.org,24.922509,51.195955,INV-1072,2024-12-07,2025-05-28,فاتورة برمجيات,5360.21,268.01,5628.22,غير مدفوعة,بطاقة,متوسط,268.01
Young PLC,شركة تضامنية,التجارة,54482632,"5142 Henry Knoll
North Robert, WV 39454",أم صلال,المنطقة 23,819-984-2877x274,tamara26@example.org,24.922509,51.195955,INV-1073,2025-02-13,2025-05-24,فاتورة رسوم حكومية,8177.33,408.87,8586.2,مدفوعة,بطاقة,منخفض,0.0
Young PLC,شركة تضامنية,التجارة,54482632,"5142 Henry Knoll
North Robert, WV 39454",أم صلال,المنطقة 23,819-984-2877x274,tamara26@example.org,24.922509,51.195955,INV-1074,2025-01-11,2025-05-15,فاتورة مياه,26544.48,1327.22,27871.7,متأخرة,شيك,مرتفع,1327.22
Young PLC,شركة تضامنية,التجارة,54482632,"5142 Henry Knoll
North Robert, WV 39454",أم صلال,المنطقة 23,819-984-2877x274,tamara26@example.org,24.922509,51.195955,INV-1075,2024-12-18,2025-06-26,فاتورة أجور,21611.31,1080.57,22691.88,متأخرة,تحويل بنكي,مرتفع,1080.57
"Hodge, Ortega and Daniel",شركة تضامنية,التجارة,69026497,"693 Vaughn Cove Apt. 545
Moodyfurt, AL 53738",الظعاين,المنطقة 68,288.940.1874x17451,michellebarnes@example.org,24.693895,50.972452,INV-1076,2024-08-06,2025-07-01,فاتورة ضريبة,10750.48,537.52,11288.0,متأخرة,شيك,مرتفع,537.52
"Hodge, Ortega and Daniel",شركة تضامنية,التجارة,69026497,"693 Vaughn Cove Apt. 545
Moodyfurt, AL 53738",الظعاين,المنطقة 68,288.940.1874x17451,michellebarnes@example.org,24.693895,50.972452,INV-1077,2024-07-13,2025-05-18,فاتورة برمجيات,42323.09,2116.15,44439.24,مدفوعة,تحويل بنكي,منخفض,0.0
Tyler-Villa,شركة تضامنية,الخدمات,53285512,"35518 John Fields Suite 235
East Tiffany, OR 96314",الدوحة,المنطقة 36,(773)884-0456,sarahmendoza@example.com,24.909209,51.13969,INV-1078,2024-10-11,2025-05-29,فاتورة تسويق رقمي,40586.6,2029.33,42615.93,متأخرة,بطاقة,مرتفع,2029.33
Tyler-Villa,شركة تضامنية,الخدمات,53285512,"35518 John Fields Suite 235
East Tiffany, OR 96314",الدوحة,المنطقة 36,(773)884-0456,sarahmendoza@example.com,24.909209,51.13969,INV-1079,2024-11-03,2025-05-10,فاتورة برمجيات,35254.5,1762.73,37017.23,متأخرة,بطاقة,مرتفع,1762.73
Tyler-Villa,شركة تضامنية,الخدمات,53285512,"35518 John Fields Suite 235
East Tiffany, OR 96314",الدوحة,المنطقة 36,(773)884-0456,sarahmendoza@example.com,24.909209,51.13969,INV-1080,2025-05-02,2025-07-01,فاتورة أجور,24732.53,1236.63,25969.16,غير مدفوعة,بطاقة,متوسط,1236.63
